Pos;Excuse
LW;Position
RW;Position
on the bench ;on the bench 
AM;Position
;XX
CM;Position
RM;Position
Ruptured knee ligament;Injury
Knee Problems;Injury
LM;Position
Tendon crack;Injury
Knee Surgery;Injury
not in squad;not in squad
DM;Position
International match;National Team
CB;Position
no information available;No Info
SS;Position
CF;Position
GK;Position
Red card suspension;Suspension
Hamstring Injury;Injury
Calf Problems;Injury
Knock;Injury
Unknown Injury;Injury
Tendonitis;Injury
torn tendon;Injury
Indirect card suspension;Suspension
Leg Injury;Injury
Suspended;Suspension
Called up to national team;National Team
SW;Position
LB;Position
Pubis bone irritation;Injury
Muscle Injury;Injury
No eligibility;not in squad
Suspension through sports court;Suspension
Tonsillitis;Injury
Cold;Injury
Cruciate Ligament Rupture;Injury
RB;Position
Yellow card suspension;Suspension
Calf Injury;Injury
Meniscal Injury;Injury
Nasal Bone Fracture;Injury
With the pros;XX
Medial Collateral Ligament Tear;Injury
With the 2nd team;XX
Influenza;Injury
Bruise;Injury
Bruised Acromioclavicular;Injury
Fractured Finger;Injury
Adductor problems;Injury
Torn Muscle Fibre;Injury
Neck Injury;Injury
Achilles Irritation;Injury
Abdominal Strain;Injury
Abdominal Influenza;Injury
Hand Injury;Injury
Hand fracture;Injury
Arm Injury;Injury
Muscular problems;Injury
Doping ban;Suspension
special leave;Special Leave
With the U21s;XX
Twisted knee;Injury
Intraarticular ligament crack in the ankle;Injury
Torn knee ligament;Injury
Cheekbone Fracture;Injury
Tear in the abductor muscle;Injury
Biceps femoris muscle injury;Injury
Thigh Muscle Strain;Injury
Pulled hamstring at the adductors;Injury
Ruptured cruciate ligament;Injury
Torn Ankle Ligament;Injury
Fracture;Injury
Sideband injury;Injury
Knee Injury;Injury
With U19;XX
Shoulder Injury;Injury
Ill;Injury
Torn muscle bundle;Injury
Thigh Problems;Injury
Fitness;XX
Concussion;Injury
Syndesmotic ligament tear;Injury
tendon irritation;Injury
Achilles tendon problems;Injury
With youth team;XX
Groin Injury;Injury
Ankle Injury;Injury
With the U18s;XX
Pubitis;Injury
Strain in the thigh and gluteal muscles;Injury
Muscle Fatigue;Injury
Sprain;Injury
Disrupted Calf Muscle;Injury
Infection;Injury
Scissure;Injury
Inflammation;Injury
Fever;Injury
Bruised Rib;Injury
Calf muscle strain;Injury
Ruptured intraarticular ligament initiation in knee;Injury
Strain;Injury
Ligament Injury;Injury
Achilles tendon rupture;Injury
In training camp with first team;XX
Cruciate Ligament Surgery;Injury
Ankle Surgery;Injury
Muscle partial avulsion;Injury
Capsular rupture in the ankle;Injury
Olympic games;XX
Torn Meniscus;Injury
Finger Injury;Injury
Metatarsal Fracture;Injury
Distortion of the ankle;Injury
Shinbone injury;Injury
