Pos;Excuse
RW;Position
Tendonitis;Injury
not in squad;not in squad
LW;Position
;XX
DM;Position
on the bench;on the bench
CM;Position
LM;Position
no information available;No Info
AM;Position
CF;Position
Unknown Injury;Injury
SS;Position
With U23 national team;Other Team
RM;Position
LB;Position
RB;Position
Yellow card suspension;Suspension
With U21 national team;Other Team
Ankle Injury;Injury
Fractured Skull;Injury
Tonsillitis;Injury
With senior national team;Other Team
Cruciate Ligament Rupture;Injury
With U19 national team;Other Team
Meniscal Injury;Injury
Knee Injury;Injury
Metatarsal Fracture;Injury
Bruised Acromioclavicular;Injury
Adductor problems;Injury
CB;Position
Muscle Injury;Injury
Muscular problems;Injury
Groin Surgery;Injury
Thigh Muscle Strain;Injury
GK;Position
With U20 national team;Other Team
Knee Surgery;Injury
Influenza;Injury
Infection;Injury
Metatarsal bone bruise;Injury
Strain;Injury
Torn Muscle Fibre;Injury
groin strain;Injury
Thigh Problems;Injury
Fractured Foot;Injury
Pneumonia;Injury
Disrupted Calf Muscle;Injury
Abdominal Influenza;Injury
Knee Problems;Injury
Calf Problems;Injury
Ruptured intraarticular ligament initiation in knee;Injury
With U16 national team;Other Team
Torn Meniscus;Injury
Muscle Fatigue;Injury
Back Injury;Injury
Foot Injury;Injury
Double Torn Ligament;Injury
Medial Collateral Ligament Knee Injury;Injury
Called up to national team;National Team
Achilles Irritation;Injury
Bone buckling;Injury
Overstretching;Injury
Stretched Ligament;Injury
Appendicitis;Injury
Hamstring Injury;Injury
Ankle Surgery;Injury
Biceps femoris muscle injury;Injury
Ruptured sideband in the knee;Injury
Cruciate Ligament Surgery;Injury
Red card suspension;Suspension
Patella problems;Injury
Calf muscle strain;Injury
Knock;Injury
Ruptured lateral collateral ligament;Injury
Ankle Fracture;Injury
Olympic games;XX
Bruise;Injury
Fractured Leg;Injury
Torn Muscle;Injury
Ruptured ankle aigament;Injury
Thigh muscle rupture;Injury
Hip Injury;Injury
Sprained Ankle;Injury
Torn Ankle Ligament;Injury
Fractured Jaw;Injury
Pelvic obliquity;Injury
Intraarticular ligament fissure;Injury
Leg Injury;Injury
Malaria;Injury
Lumbar vertebrae problems;Injury
Compression of spinal;Injury
Bruised Foot;Injury
Dislocation of the patella;Injury
Patella tendon irritation;Injury
Muscle bruise;Injury
Back trouble;Injury
Ruptured sideband in the ankle;Injury
Indirect card suspension;Suspension
Ankle problems;Injury
Foot surgery;Injury
Pubitis;Injury
Minor Knock;Injury
Overstretching of the syndesmotic ligament;Injury
Calf Strain;Injury
Medial Collateral Ligament Injury;Injury
Herniated Disc;Injury
Fitness;XX
Sideband injury;Injury
Rest;XX
Surgery;Injury
Tear in the abductor muscle;Injury
With other national team;Other Team
Groin Injury;Injury
Achilles tendon problems;Injury
Cold;Injury
Mensical Laceration;Injury
Cheekbone Fracture;Injury
Shoulder Injury;Injury
Ruptured sideband;Injury
Gastric problems;Injury
Meniscus Damage;Injury
Medial Collateral Ligament Tear;Injury
Torn Collateral Ligament;Injury
Tarsal Rupture;Injury
Abdominal muscles injury;Injury
Cruciate ligament stretch;Injury
Stress response of the bone;Injury
Suspension through sports court;Suspension
Hand Injury;Injury
Peroneus tendon injury;Injury
Fractured Toe;Injury
Torn lateral collateral ligament;Injury
With U18 national team;Other Team
Tibial plateau contusion;Injury
Cervical Fracture;Injury
Cruciate Ligament Injury;Injury
Muscle fiber tear;Injury
Abdominal Strain;Injury
Tear in a joint capsule;Injury
Concussion;Injury
Suspended;Suspension
Torn muscle bundle;Injury
Head Injury;Injury
Neck Injury;Injury
Inflamed head of fibula;Injury
Ruptured knee ligament;Injury
torn tendon;Injury
Torn knee ligament;Injury
Heel Bone Injury;Injury
Doping ban;Suspension
Collarbone fracture;Injury
Rupture of Outer Meniscus;Injury
Flu;Injury
Nasal Bone Fracture;Injury
Rupture of the pattella;Injury
Ill;Injury
Ruptured cruciate ligament;Injury
With U17 national team;Other Team
Ruptured ankle ligament;Injury
Calf Injury;Injury
Dead Leg;Injury
Tibia Fracture;Injury
capsular tear;Injury
Pulled hamstring at the adductors;Injury
Pubis bone irritation;Injury
Appendectomy;Injury
Fatigue fracture;Injury
Broken wrist;Injury
Syndesmotic ligament tear;Injury
Problems with the left hip flexor;Injury
Lumbar Vertebra Fracture;Injury
Fractured Rib;Injury
Ruptured ligaments;Injury
Hip problems;Injury
Ruptured syndesmotic ligament;Injury
tendon irritation;Injury
Food Poisoning;Injury
Distortion of the ankle;Injury
Sprained ankle;Injury
Ankle fracture;Injury
Elbow Injury;Injury
Achilles tendon rupture;Injury
Torn Knee Ligament;Injury
Fever;Injury
Ligament Problems;Injury
Fractured Arm;Injury
Problems with the right hip flexor;Injury
Fibula Fracture;Injury
Bruised Knee;Injury
Bruised Rib;Injury
Ligament Injury;Injury
Insect bite;Injury
Basal Skull Fracture;Injury
Inflammation;Injury
Twisted knee;Injury
Eye Injury;Injury
Knee inflammation;Injury
With U15 national team;Other Team
special leave;Special Leave
Bruised Ankle;Injury
Fractured Finger;Injury
Cartilage Damage;Injury
Forearm Fracture;Injury
Tendon crack;Injury
Periostitis;Injury
Partial damage to the cruciate ligament;Injury
Groin Strain;Injury
Mononucleosis;Injury
Sprain;Injury
Fractured Hand;Injury
Torn Ligament;Injury
Acromioclavicular Separation;Injury
Arm Injury;Injury
Edema in the knee;Injury
Strain in the thigh and gluteal muscles;Injury
Toothache;Injury
Virus Infection;Injury
In training camp with first team;XX
Pelvis Injury;Injury
Flesh Wound;Injury
Lumbago;Injury
Sideband strain in the knee;Injury
Torn ankle ligament;Injury
Heart Condition;Injury
Vertebra injury;Injury
Injury to the ankle;Injury
Arthroscopie;Injury
Femoral Fracture;Injury
Inguinal Hernia;Injury
Toe Injury;Injury
Finger Injury;Injury
Shoulder fracture;Injury
Hand fracture;Injury
Sciatic Problem;Injury
laceration;Injury
open wound;Injury
Dental Surgery;Injury
Shinbone injury;Injury
Collapsed Lung;Injury
Achilles tendon surgery;Injury
Knee Cyst;Injury
SW;Position
Cut;Injury
Cervical spine injury;Injury
Hairline crack in calfbone;Injury
Blockade in the spinal;Injury
Cheek bone contusion;Injury
Lung contusion;Injury
Nose surgery;Injury
Ulnar fracture;Injury
Thumb Injury;Injury
No eligibility;not in squad
Jumpers knee;Injury
Facial Fracture;Injury
Nose Injury;Injury
Fractured Kneecap;Injury
Angina;Injury
Testicular Cancer;Injury
Cruciate Ligament Strain;Injury
Back bruise;Injury
Shin bone bruise;Injury
Adductors avulsion;Injury
Navicular Bone Fracture;Injury
Hamstring contusion;Injury
Wirst Injury;Injury
Pubalgia;Injury
Sideband tear in the knee;Injury
Facial Injury;Injury
Medial Collateral Ligament avulsion;Injury
Inflamed ligaments of the knee;Injury
inflamation of Biceps;Injury
Bruise on ankle;Injury
Tibia and Fibula Fracture;Injury
Contracture;Injury
Fracture-dislocation of the ankle;Injury
Corona virus;Injury
